Game Title;Front Page Info (Size/Version);Front Page Info (Genre/Publisher);Detail URL;ROM Format;File Size;Mirror Hoster;Redirect URL;Final Direct Link;Link Status;HTTP Code;Check Detail;Checked At
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;[UPDATE] NSP ROM V1.1.3;355 MB;Megaup;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=28;https://megaup.net/b9a4980c4531c6320ef789c3ea982998/UPDATE_-_Clubhouse_Games_51_Worldwide_Classics_[010047700D540800][v262144][switchroms.io].zip;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;[UPDATE] NSP ROM V1.1.3;355 MB;File-upload;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=29;https://www.file-upload.org/1l23b84dd6cu;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Clubhouse Games: 51 Worldwide Classics;N/A;N/A;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/;[UPDATE] NSP ROM V1.1.3;355 MB;Terabox;https://switchroms.io/clubhouse-games-51-worldwide-classics-nsp-xci-switch-rom/?download=32;https://terabox.com/s/1v1RLX3qcbq_aVClkHILbTA;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;NSP ROM;2.9 GB;1fichier;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=1;https://1fichier.com/?m3o2pk2b8xbekylyuwzi;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;NSP ROM;2.9 GB;Send.cm;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=2;https://send.cm/j0h8v7tesftf;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;NSP ROM;2.9 GB;File-upload;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=4;https://www.file-upload.org/bwvy27g7niwk;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;NSP ROM;2.9 GB;Up-4ever;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=6;https://www.up-4ever.net/guviqjjdjzqy;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;NSP ROM;2.9 GB;Terabox;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=7;https://terabox.com/s/18WRHrBY8txa9pIiOsexbVA;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;XCI ROM;3.2 GB;1fichier;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=9;https://1fichier.com/?eycmevp6lq4jpxl2n75v;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Teenage Mutant Ninja Turtles: The Cowabunga Collection;N/A;N/A;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/;XCI ROM;3.2 GB;File-upload;https://switchroms.io/teenage-mutant-ninja-turtles-the-cowabunga-collection-nsp-xci-switch-rom/?download=11;https://www.file-upload.org/mfobh2cpucjw;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
